area_use,area_supply,rooms,households,uuid,restrooms,space,management_fee_summer,area_supply_pyeong,floor_plan_url,management_fee_winter,management_fee_year,entrance,apartment_uuid
183.16,197.85,5,8,apartmenttype_99,2,197㎡,nan,59,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=948&ptpId=5,nan,nan,계단식,apartment_1165010121
257.12,289.36,6,24,apartmenttype_100,3,289㎡,nan,87,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=948&ptpId=4,nan,nan,계단식,apartment_1165010121
127.94,137.63,4,66,apartmenttype_101,1,137A㎡,nan,41,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=468&ptpId=3,nan,nan,계단식,apartment_1165010122
128.5,137.64,4,6,apartmenttype_102,1,137B㎡,nan,41,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=468&ptpId=4,nan,nan,계단식,apartment_1165010122
131.41,141.54,4,132,apartmenttype_103,1,141A㎡,nan,42,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=468&ptpId=1,nan,nan,복도식,apartment_1165010122
132.39,141.55,4,12,apartmenttype_104,1,141B㎡,nan,42,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=468&ptpId=5,nan,nan,계단식,apartment_1165010122
177.52,191.78,5,44,apartmenttype_105,2,191A㎡,nan,58,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=468&ptpId=2,nan,nan,계단식,apartment_1165010122
179.08,191.79,5,4,apartmenttype_106,2,191B㎡,nan,58,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=468&ptpId=6,nan,nan,계단식,apartment_1165010122
78.02,80.86,2,8,apartmenttype_107,1,80A㎡,nan,24,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=5,nan,nan,복도식,apartment_1165010123
80.33,80.85,2,76,apartmenttype_108,1,80B㎡,nan,24,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=3,nan,nan,복도식,apartment_1165010123
81.39,82.08,2,174,apartmenttype_109,1,82A㎡,nan,24,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=1,nan,nan,복도식,apartment_1165010123
81.88,82.08,2,15,apartmenttype_110,1,82C㎡,nan,24,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=7,nan,nan,계단식,apartment_1165010123
81.92,82.32,2,1,apartmenttype_111,1,82B㎡,nan,24,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=6,nan,nan,복도식,apartment_1165010123
116.13,117.15,3,129,apartmenttype_112,1,117A㎡,nan,35,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=2,nan,nan,복도식,apartment_1165010123
116.96,117.15,3,15,apartmenttype_113,1,117B㎡,nan,35,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=8,nan,nan,계단식,apartment_1165010123
162.77,164.16,5,1,apartmenttype_114,1,164㎡,nan,49,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=947&ptpId=4,nan,nan,복도식,apartment_1165010123
133.31,165.14,4,74,apartmenttype_115,2,165㎡,337368.0,50,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3400&ptpId=1,314143.0,314506.0,계단식,apartment_1165010124
158.82,196.74,5,42,apartmenttype_116,2,196D㎡,401927.0,59,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3400&ptpId=6,374257.0,374690.0,계단식,apartment_1165010124
158.99,196.95,5,19,apartmenttype_117,2,196C㎡,402357.0,59,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3400&ptpId=5,374658.0,375091.0,계단식,apartment_1165010124
159.47,197.55,5,19,apartmenttype_118,2,197B㎡,403572.0,59,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3400&ptpId=4,375789.0,376223.0,계단식,apartment_1165010124
186.53,231.07,5,38,apartmenttype_119,2,231㎡,472053.0,70,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3400&ptpId=7,439556.0,440064.0,계단식,apartment_1165010124
89.84,117.07,3,84,apartmenttype_120,2,117㎡,266503.0,35,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=465&ptpId=1,352769.0,292948.0,계단식,apartment_1165010125
121.07,148.82,4,60,apartmenttype_121,2,148㎡,359142.0,45,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=465&ptpId=2,475397.0,394780.0,계단식,apartment_1165010125
155.23,177.45,4,24,apartmenttype_122,2,177A㎡,460460.0,53,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=465&ptpId=4,609510.0,506151.0,계단식,apartment_1165010125
155.44,175.79,4,48,apartmenttype_123,2,175B㎡,461100.0,53,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=465&ptpId=3,610357.0,506855.0,계단식,apartment_1165010125
198.53,231.63,4,77,apartmenttype_124,2,231㎡,706711.0,70,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=17709&ptpId=1,625770.0,632003.0,계단식,apartment_1165010126
202.46,235.96,4,30,apartmenttype_125,2,235㎡,720708.0,71,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=17709&ptpId=2,638164.0,644520.0,계단식,apartment_1165010126
216.73,244.99,4,55,apartmenttype_126,2,244㎡,771509.0,74,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=17709&ptpId=3,683146.0,689951.0,계단식,apartment_1165010126
244.87,277.18,5,30,apartmenttype_127,3,277㎡,871696.0,83,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=17709&ptpId=4,771859.0,779547.0,계단식,apartment_1165010126
28.81,35.76,1,5,apartmenttype_128,1,35A㎡,124421.0,10,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=1,117922.0,117382.0,계단식,apartment_1165010127
33.73,41.86,1,5,apartmenttype_129,1,41B㎡,145669.0,12,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=2,138060.0,137428.0,계단식,apartment_1165010127
39.31,48.79,1,52,apartmenttype_130,1,48C㎡,169767.0,14,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=3,160900.0,160163.0,계단식,apartment_1165010127
41.27,51.22,1,1,apartmenttype_131,1,51D㎡,178232.0,15,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=4,168922.0,168149.0,계단식,apartment_1165010127
43.93,54.52,1,70,apartmenttype_132,1,54E㎡,189719.0,16,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=5,179809.0,178986.0,계단식,apartment_1165010127
45.02,55.88,1,1,apartmenttype_133,1,55F㎡,194427.0,16,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=6,184271.0,183428.0,계단식,apartment_1165010127
46.24,57.39,1,1,apartmenttype_134,1,57G㎡,199695.0,17,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=7,189265.0,188398.0,계단식,apartment_1165010127
49.99,62.04,1,1,apartmenttype_135,1,62H㎡,215890.0,18,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=8,204614.0,203677.0,계단식,apartment_1165010127
57.37,71.21,1,8,apartmenttype_136,1,71I㎡,247762.0,21,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=9,234821.0,233746.0,계단식,apartment_1165010127
61.16,75.91,1,6,apartmenttype_137,1,75J㎡,264130.0,23,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=10,250334.0,249188.0,계단식,apartment_1165010127
62.75,77.88,2,12,apartmenttype_138,2,77K㎡,270997.0,23,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=11,256841.0,255666.0,계단식,apartment_1165010127
78.19,97.04,3,1,apartmenttype_139,2,97L㎡,337677.0,29,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=12,320039.0,318574.0,계단식,apartment_1165010127
172.27,202.76,4,50,apartmenttype_140,2,202㎡,nan,61,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=26687&ptpId=1,nan,nan,계단식,apartment_1165010128
198.16,238.4,4,8,apartmenttype_141,3,238A㎡,nan,72,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=26687&ptpId=2,nan,nan,계단식,apartment_1165010128
204.41,240.42,4,70,apartmenttype_142,2,240B㎡,nan,72,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=26687&ptpId=3,nan,nan,계단식,apartment_1165010128
