uuid,name,type,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
restaurant_74728,대원식당,한식,서울특별시 서초구 방배동 852-15번지 (지상1층),POINT (126.9922577 37.4887381),4.8,pedestrian_2510022118,localroad_2510022118
restaurant_74729,껄떡돼지,한식,서울특별시 서초구 서초동 1365-6번지 요한빌딩 1층,POINT (127.0307465 37.4845909),3.9,pedestrian_6337148391,localroad_6337148391
restaurant_74730,맘 코리안 비스트로,한식,서울특별시 서초구 반포동 91-4 미성빌딩 104호,POINT (126.9988937 37.4981835),4.5,pedestrian_3796948936,localroad_3796948936
restaurant_74731,Lamb. Cook(램.쿡),한식,서울특별시 서초구 잠원동 22-12번지 제일빌딩 1층,POINT (127.0181827 37.5149427),5,pedestrian_8489456682,localroad_2861309346
restaurant_74732,꽃보다 갈비살,한식,서울특별시 서초구 양재동 14-13 1층,POINT (127.0374837 37.482096),4.3,pedestrian_1694782961,localroad_1694782961
restaurant_74733,우리한돈 정육식당 남부터미널점,한식,서울특별시 서초구 서초동 1594-3 1층,POINT (127.0140309 37.4865881),4.9,pedestrian_1965713723,localroad_1965713723
restaurant_74734,유연카레(서초점),일식,서울특별시 서초구 서초동 1547-5번지 1층 102호,POINT (127.0102144 37.4887458),2.7,pedestrian_3827338116,localroad_3827338116
restaurant_74735,서초면옥,한식,서울특별시 서초구 방배동 797-19번지 (지상1층),POINT (126.9931272 37.4938815),4.8,pedestrian_2385934912,localroad_2623456127
restaurant_74736,양자강,중국식,서울특별시 서초구 방배동 769-1번지 2층,POINT (126.98612 37.4952543),2.8,pedestrian_2533109216,localroad_2533109216
restaurant_74737,국수마을,한식,서울특별시 서초구 서초동 1432-24번지 1층 102호,POINT (127.0222045 37.4841151),4.8,pedestrian_2655406571,localroad_2655406571
restaurant_74738,심가,일식,서울특별시 서초구 방배동 777-6번지 (1층),POINT (126.9865369 37.49369),4.8,pedestrian_8486755396,localroad_2533109207
restaurant_74741,팜스,통닭(치킨),서울특별시 서초구 반포동 67-1,POINT (126.9989481 37.5000401),3.8,pedestrian_11428504974,localroad_2622713665
restaurant_74742,밥보,한식,서울특별시 서초구 방배동 923-14 지상1층,POINT (126.9950014 37.4839859),3.2,pedestrian_1696934741,localroad_1696934741
restaurant_74743,(주)진주랑 크레신 식당,한식,서울특별시 서초구 잠원동 8-22 1층,POINT (127.0181755 37.5180783),4.1,pedestrian_9891988114,localroad_600377807
restaurant_74744,한상차림 코다리명가 사당점,한식,서울특별시 서초구 방배동 450-16 3층,POINT (126.9829915 37.4774407),3.9,pedestrian_4101372585,localroad_1685579589
restaurant_74745,대도식당,한식,"서울특별시 서초구 잠원동 27-2 멀버리힐스 1동 지하3층 B301일부, B302, B303호",POINT (127.0194115 37.5143942),4.2,pedestrian_9892111606,localroad_4181527974
restaurant_74746,홍콩가,중국식,서울특별시 서초구 반포동 738-41,POINT (127.0226335 37.504996),5,pedestrian_4182209827,localroad_4182209827
restaurant_74747,태양,중국식,서울특별시 서초구 서초동 1515-2 1층,POINT (127.0044644 37.486616),4.2,pedestrian_3827338077,localroad_3827338077
restaurant_74748,주희설렁탕생태찌개,일식,서울특별시 서초구 양재동 276-9번지,POINT (127.045098 37.4763911),4.6,pedestrian_3011650459,localroad_3011650459
restaurant_74750,우리주막그루터기,한식,서울특별시 서초구 서초동 1557-2번지,POINT (127.0107072 37.4908223),2.6,pedestrian_3827338146,localroad_3827338146
restaurant_74751,고봉김밥,김밥(도시락),서울특별시 서초구 서초동 1431-13 1층,POINT (127.0218469 37.4846618),3.4,pedestrian_3827257129,localroad_3827257129
restaurant_74752,베키아에누보 강남점,경양식,서울특별시 서초구 반포동 19-3,POINT (127.0032242 37.5042121),3.1,pedestrian_9787414078,localroad_4738140914
restaurant_74753,다동분식,경양식,서울특별시 서초구 서초동 1579-9번지,POINT (127.0137479 37.4883338),5,pedestrian_1965713727,localroad_1965713727
restaurant_74754,봉추찜닭,한식,서울특별시 서초구 서초동 1574-6번지 101호,POINT (127.0132102 37.4922399),4.1,pedestrian_2388037860,localroad_2388037860
restaurant_74755,정,분식,서울특별시 서초구 방배동 444-8번지 지하1층,POINT (126.9820323 37.4773063),4.2,pedestrian_4078144566,localroad_4888858384
restaurant_74756,치킨뱅이,통닭(치킨),"서울특별시 서초구 서초동 1601-1번지 브이샤르망 111,112호",POINT (127.0144779 37.4861323),2.6,pedestrian_3827258469,localroad_3827258469
restaurant_74757,카페 커먼띵스,까페,서울특별시 서초구 서초동 1432-24번지 1층 101호,POINT (127.0222045 37.4841151),4.3,pedestrian_2655406571,localroad_2655406571
restaurant_74758,치코,경양식,서울특별시 서초구 양재동 16-32번지 지하1층,POINT (127.0401113 37.4799819),3.5,pedestrian_1694782550,localroad_1694782550
restaurant_74759,담미온,한식,서울특별시 서초구 서초동 1623-11번지 1층,POINT (127.0154988 37.4867445),4.3,pedestrian_2655472822,localroad_2655472822
restaurant_74760,진미식당,한식,서울특별시 서초구 양재동 327-9,POINT (127.0411664 37.4690787),4.7,pedestrian_4184585520,localroad_4184585520
restaurant_74761,박고(朴高)볼래,한식,서울특별시 서초구 양재동 15-22번지 1층,POINT (127.0379291 37.4817483),3.6,pedestrian_1694782828,localroad_1694782828
restaurant_74762,스프링,경양식,서울특별시 서초구 반포동 747-3,POINT (127.0232027 37.5047123),2.9,pedestrian_4182209840,localroad_4182209840
restaurant_74763,하이난,중국식,서울특별시 서초구 서초동 1692-5 1층,POINT (127.0150337 37.4946068),3.1,pedestrian_3112174493,localroad_3112174493
restaurant_74764,시골야채된장,한식,서울특별시 서초구 양재동 341-7 1층 103호,POINT (127.0447846 37.4690359),3.1,pedestrian_4184585514,localroad_4184585514
restaurant_74765,맛깔포차,정종/대포집/소주방,서울특별시 서초구 서초동 1307-12 (1층),POINT (127.0252557 37.4999087),4.8,pedestrian_1430655025,localroad_4944067989
restaurant_74766,죠스샌드위치 교대역점,분식,서울특별시 서초구 서초동 1668-21번지 1층,POINT (127.0183444 37.4930936),3.2,pedestrian_2295372341,localroad_2295372341
