uuid,node1_uuid,node2_uuid,distance,average_travel_time,geometry
localroad_6802,localroad_4278630694,localroad_9693950797,212.109,0.636327,"MultiLineString ((127.0359469 37.4608203, 127.0358461 37.460901, 127.0358378 37.4609085, 127.0353196 37.4613227, 127.035204 37.4614151, 127.0351406 37.4614658, 127.0343762 37.4620778, 127.0343427 37.4621106, 127.0343237 37.4621352, 127.0343106 37.4621527"
localroad_6803,localroad_4309614268,localroad_2622713697,54.937,0.219748,"MultiLineString ((127.0000187 37.4959615, 126.9993975 37.4959959))"
localroad_6804,localroad_4309614268,localroad_4310024349,50.444,0.168146667,"MultiLineString ((127.0000187 37.4959615, 127.0005891 37.4959299))"
localroad_6805,localroad_4309614268,localroad_436842103,126.182,0.4731825,"MultiLineString ((127.0000187 37.4959615, 126.99991 37.49483))"
localroad_6806,localroad_4309614268,localroad_2622713703,96.551,0.340768235,"MultiLineString ((127.0000187 37.4959615, 127.0000388 37.4961708, 127.000058 37.4963708, 127.0001001 37.4968274))"
localroad_6807,localroad_4309768669,localroad_3804191181,176.267,0.587556667,"MultiLineString ((126.9850479 37.4875528, 126.9849787 37.4875793, 126.9848209 37.487549, 126.9846327 37.4874905, 126.984279 37.4873875, 126.9839941 37.4873027, 126.9838863 37.4872846, 126.9831418 37.4874249))"
localroad_6808,localroad_4309768669,localroad_3804191217,209.166,0.738232941,"MultiLineString ((126.9850479 37.4875528, 126.9852569 37.4877672, 126.9854929 37.4880439, 126.9858523 37.4884738, 126.9861206 37.4888611, 126.9862872 37.4891504))"
localroad_6809,localroad_4309768669,localroad_3804191162,170.279,0.600984706,"MultiLineString ((126.9850479 37.4875528, 126.9847714 37.4872692, 126.9845649 37.487084, 126.9838407 37.4865998, 126.9836825 37.4864792))"
localroad_6810,localroad_4309772426,localroad_4184618640,79.203,0.250114737,"MultiLineString ((127.0439334 37.4746416, 127.0446341 37.4750867))"
localroad_6811,localroad_4309772426,localroad_3011545196,48.762,0.146286,"MultiLineString ((127.0439334 37.4746416, 127.044296 37.4743107))"
