uuid,type,name,address,geometry,pedestrian_entrance_uuid,vehicle_entrance_uuid
daycare_1952,국공립,서초구립반포서래어린이집,서울특별시 서초구 사평대로28길 70,POINT (127.0002837 37.4974113),pedestrian_9821577177,localroad_2622713699
daycare_1953,직장,서초2삼성어린이집,서울특별시 서초구 서초대로74길 4 삼성생명 서초타워 3층,POINT (127.0257153 37.4967408),pedestrian_2690624934,localroad_2690624934
daycare_1981,가정,에덴어린이집,서울특별시 서초구 서초대로23길 85,POINT (126.9903048 37.4910101),pedestrian_2624566115,localroad_2511519003
daycare_2050,민간,반포퍼스티지솔마을어린이집,서울특별시 서초구 반포대로 275 래미안퍼스티지 아파트 125동앞,POINT (126.9976167 37.5031915),pedestrian_10918104809,localroad_12208571847
daycare_2062,민간,리체꿈나라 어린이집,서울특별시 서초구 고무래로 35 (반포동),POINT (127.0135223 37.5037669),pedestrian_4899658331,localroad_4899542143
daycare_2066,직장,KTDS서초어린이집,서울특별시 서초구 효령로 174 ktds서초 어린이집,POINT (127.0033022 37.4821731),pedestrian_1696934709,localroad_1696934709
daycare_2080,가정,미소담은어린이집,서울특별시 서초구 바우뫼로 91 우성아파트 105동 105호,POINT (127.0306816 37.4756159),pedestrian_3734651258,localroad_3727772781
daycare_2085,가정,서초양재어린이집,서울특별시 서초구 강남대로34길 46-12 1층(양재동),POINT (127.0385536 37.4833122),pedestrian_4184399704,localroad_4184399704
daycare_2139,민간,반포퍼스티지 하늘어린이집,서울특별시 서초구 반포대로 275 (반포동),POINT (126.9976167 37.5031915),pedestrian_10918104809,localroad_12208571847
daycare_2144,가정,영어린이집,"서울특별시 서초구 잠원로14길 54 101호(잠원동, 신화아파트)",POINT (127.0133889 37.5156146),pedestrian_11225321933,localroad_436841230
daycare_2182,직장,KT연구개발센터 꿈나무어린이집,서울특별시 서초구 태봉로 151 (우면동),POINT (127.0293579 37.471316),pedestrian_9624439686,localroad_9624439702
daycare_2249,가정,서초현대어린이집,서울특별시 서초구 강남대로30길 77-4 현대빌라 101호 (양재동),POINT (127.0413799 37.4833441),pedestrian_1694783330,localroad_1694783330
daycare_2258,국공립,서정어린이집,서울특별시 서초구 방배천로 48 (방배동),POINT (126.9827882 37.4807638),pedestrian_1685579601,localroad_1685579601
daycare_2325,협동,바름이어린이집,서울특별시 서초구 서초대로45길 20 서울변호사교육문화관 1층 (서초동),POINT (127.008911 37.4941051),pedestrian_3153826761,localroad_3153826761
daycare_2331,직장,서초1삼성어린이집,서울특별시 서초구 서초대로74길 11 삼성전자 內 (서초동),POINT (127.0269155 37.4966335),pedestrian_3825549715,localroad_9711448980
daycare_2388,직장,서울시인재개발원 쑥쑥어린이집,서울특별시 서초구 남부순환로340길 58 서울시인재개발원직장어린이집,POINT (127.0213179 37.4801341),pedestrian_3724646178,localroad_3827257096
daycare_2412,직장,서초구청 직장어린이집,서울특별시 서초구 남부순환로347길 46 (서초동),POINT (127.0314239 37.4864256),pedestrian_3827170258,localroad_3827169943
daycare_2524,민간,서초이화어린이집,서울특별시 서초구 방배로39길 42 (방배동),POINT (126.9867558 37.4942325),pedestrian_2533109208,localroad_2533109208
daycare_2532,직장,양지1어린이집,"서울특별시 서초구 샘마을길 73 내곡동, 양지1어린이집",POINT (127.0704252 37.4634647),pedestrian_3636275548,localroad_3636275548
daycare_2571,가정,아가야어린이집,서울특별시 서초구 방배중앙로15길 22 1층 (방배동),POINT (126.9870763 37.4880811),pedestrian_3804191194,localroad_3804191194
daycare_2691,직장,다솜어린이집,서울특별시 서초구 반포대로 180 다솜어린이집[서초경찰서 맞은편],POINT (127.0061514 37.495839),pedestrian_7888195516,localroad_3221788778
daycare_2727,가정,예랑어린이집,서울특별시 서초구 청두곶길 46 1층 (방배동),POINT (126.98557 37.4807336),pedestrian_4185991283,localroad_4185991283
daycare_2800,가정,선우어린이집,서울특별시 서초구 방배로15길 26 1층,POINT (126.9942902 37.4838988),pedestrian_1696934738,localroad_1696934738
daycare_2805,민간,로고스몬테소리어린이집,서울특별시 서초구 명달로4길 8 정양빌딩 1층 (서초동),POINT (127.0063737 37.4799103),pedestrian_1925407814,localroad_1925407814
daycare_2820,가정,토마토어린이집,"서울특별시 서초구 서초중앙로24길 43 101동 103호(서초동, 유원아파트)",POINT (127.0174589 37.4959426),pedestrian_8489592917,localroad_3112865086
daycare_2826,가정,꿈터어린이집,"서울특별시 서초구 바우뫼로 91 101동 101호(양재동, 양재우성아파트)",POINT (127.0301059 37.4764222),pedestrian_3727773483,localroad_3727772781
daycare_2880,가정,잠원시온어린이집,서울특별시 서초구 잠원로 150 잠원한신아파트 4동 107호,POINT (127.0107767 37.5164127),pedestrian_8488872315,localroad_2244637657
daycare_2957,민간,파란나라어린이집,서울특별시 서초구 서초대로1길 30 현대1차B상가 201호 (방배동),POINT (126.9838364 37.4885218),pedestrian_4186016192,localroad_4186016192
daycare_2961,국공립,서초남서울어린이집,서울특별시 서초구 반포대로 310-5 구립서초남서울어린이집,POINT (127.0009041 37.5068686),pedestrian_5886932112,localroad_4738140916
daycare_3003,국공립,니꼴라오 어린이집,서울특별시 서초구 논현로5길 28 (양재동),POINT (127.0482282 37.4720552),pedestrian_927740140,localroad_927740140
daycare_3047,민간,서초래미안어린이집,서울특별시 서초구 서초대로65길 13-10 서초래미안아파트 관리동 1층 (서초동),POINT (127.0187908 37.4987289),pedestrian_8526750998,localroad_3112140344
daycare_3083,직장,푸르니서초 어린이집,서울특별시 서초구 효령로67길 4 (서초동),POINT (127.0238234 37.4874353),pedestrian_9657758673,localroad_3492880593
daycare_3151,가정,서초예랑어린이집,"서울특별시 서초구 효령로23길 82 103호(방배동, 퍼시픽하우스)",POINT (126.9923576 37.4838283),pedestrian_4185835014,localroad_4185834989
daycare_3171,직장,바로미어린이집,서울특별시 서초구 서초중앙로 157 서울법원종합청사별관 (서초동),POINT (127.0114053 37.4979104),pedestrian_10899721246,localroad_5628739390
daycare_3172,민간,기쁜어린이집,서울특별시 서초구 바우뫼로9길 22-8 (우면동),POINT (127.0264471 37.4725986),pedestrian_4634856250,localroad_4634856250
daycare_3210,민간,언남해피어린이집,서울특별시 서초구 동산로13길 35 (양재동),POINT (127.0426235 37.4727218),pedestrian_1925498516,localroad_1925498516
daycare_3267,국공립,구립서초사랑어린이집,서울특별시 서초구 잠원로 213-3,POINT (127.0148285 37.5205553),pedestrian_5412623492,localroad_846808301
daycare_3287,가정,늘푸른아이들어린이집,"서울특별시 서초구 신반포로15길 4 101동 101호(반포동, 반포대우아파트)",POINT (126.9956436 37.5035802),pedestrian_11428505023,localroad_11641428833
daycare_3311,민간,수표교어린이집,서울특별시 서초구 명달로 52 (서초동),POINT (127.0052927 37.4821358),pedestrian_1925407818,localroad_1925407818
