uuid,type,name,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
hospital_1514,기타,케이셀의원,"서울특별시 서초구 서초대로77길 3, 아라타워 201,202,203,204,209,213,214호 (서초동)",POINT (127.0265048 37.49806091),4.1,pedestrian_9632500766,localroad_8489896381
hospital_1520,기타,코비쥬 의원,"서울특별시 서초구 강남대로 463, 리젠메디컬타워 14층 (서초동)",POINT (127.0244468 37.50344757),4,pedestrian_11034183379,localroad_2281095539
hospital_1525,기타,큐라인여성의원,"서울특별시 서초구 서초대로77길 3, 아라타워 12,13층 (서초동)",POINT (127.0265048 37.49806091),3,pedestrian_9632500766,localroad_8489896381
hospital_1526,기타,큐비스의원,"서울특별시 서초구 서초대로77길 24, 강남 지웰타워2 13층 (서초동)",POINT (127.0259916 37.50002099),4.6,pedestrian_11183748448,localroad_2280678683
hospital_1436,기타,크리미의원,"서울특별시 서초구 서초대로73길 7, 3층 (서초동)",POINT (127.0252772 37.4981329),3.4,pedestrian_4959609718,localroad_4944067989
hospital_1536,기타,키움성장의원,"서울특별시 서초구 반포대로 287, 309,310,311호 (반포동, 래미안퍼스티지중심상가)",POINT (127.0010883 37.50432794),3.3,pedestrian_10918075279,localroad_8486796669
hospital_1496,기타,타이니스트의원,"서울특별시 서초구 강남대로 381, 303(일부)호 (서초동, 두산베어스텔)",POINT (127.0276939 37.49668534),3.5,pedestrian_3106206002,localroad_571448492
hospital_1542,기타,타이니스트의원,서울특별시 서초구 강남대로 381 (서초동),POINT (127.0276939 37.49668534),4.1,pedestrian_3106206002,localroad_571448492
hospital_1548,기타,톡스미의원,"서울특별시 서초구 서초대로77길 3, 아라타워 12층 1202(일부),1203,1204호 (서초동)",POINT (127.0265048 37.49806091),2.7,pedestrian_9632500766,localroad_8489896381
hospital_1549,기타,톡스앤필의원,"서울특별시 서초구 강남대로 415, 대동빌딩 10, 11층 (서초동)",POINT (127.0263398 37.4995604),3.8,pedestrian_4946614556,localroad_2280678683
