uuid,name,geometry,pedestrian_entrance_uuid,vehicle_entrance_uuid
citybusstop_8738,서초래미안아파트정문,POINT (127.0187319 37.5002851),pedestrian_12061668125,localroad_3112140343
citybusstop_8739,서초래미안아파트남문,POINT (127.0204175 37.4974383),pedestrian_12062647536,localroad_3072842133
citybusstop_8740,교대역,POINT (127.016512 37.496885),pedestrian_3112238852,localroad_3112158615
citybusstop_8741,서초롯데캐슬프레지던트아파트,POINT (127.0197758 37.4960642),pedestrian_3212514896,localroad_3827548494
citybusstop_8742,신반포18차아파트,POINT (127.0143123 37.5201415),pedestrian_11225321856,localroad_846808301
citybusstop_8743,잠원한신아파트,POINT (127.0099438 37.5168241),pedestrian_8488872936,localroad_2244637657
citybusstop_8744,잠원역,POINT (127.0117464 37.5129294),pedestrian_10909406259,localroad_10909406259
citybusstop_8745,신반포13차아파트,POINT (127.0143897 37.5171426),pedestrian_8488915406,localroad_4185626619
citybusstop_8746,반포역(중),POINT (127.01212799 37.50839109),pedestrian_8489060247,localroad_11641428822
citybusstop_8747,매일상가,POINT (127.0130661 37.5135792),pedestrian_436816903,localroad_436816903
citybusstop_8748,잠원성당,POINT (127.0069649 37.5134704),pedestrian_8487473632,localroad_4185626634
citybusstop_8749,래미안신반포리오센트아파트,POINT (127.0138121 37.5195667),pedestrian_11225321859,localroad_4954438710
citybusstop_8750,신반포18차아파트,POINT (127.01384075 37.51963384),pedestrian_11225321859,localroad_4954438710
citybusstop_8751,신동중학교,POINT (127.0128261 37.5155902),pedestrian_11225321934,localroad_436841230
citybusstop_8752,롯데캐슬아파트,POINT (127.0155351 37.5196944),pedestrian_8489298912,localroad_8489298912
citybusstop_8753,신사역5번출구,POINT (127.0189942 37.5169785),pedestrian_600377854,localroad_600377854
citybusstop_8754,신사동,POINT (127.018962 37.517155),pedestrian_9891988044,localroad_600377854
citybusstop_8755,신사역.푸른저축은행,POINT (127.0199389 37.514489),pedestrian_9892111592,localroad_4867334996
citybusstop_8756,신사역4번출구,POINT (127.0195614 37.5150243),pedestrian_4867334999,localroad_4867334999
citybusstop_8757,신사역,POINT (127.0194823 37.5152766),pedestrian_9891988049,localroad_4867334997
citybusstop_8758,신사역.푸른저축은행(중),POINT (127.02008897 37.51400931),pedestrian_357824648,localroad_357824648
citybusstop_8759,신사역,POINT (127.020068 37.51399),pedestrian_357824648,localroad_357824648
citybusstop_8760,논현사거리.논현역5번출구,POINT (127.01936 37.5106107),pedestrian_2477374749,localroad_2477374749
citybusstop_8761,신사동.더리버사이드호텔,POINT (127.0187306 37.5177142),pedestrian_9891988044,localroad_600377807
citybusstop_8762,구반포역(중),POINT (126.99002752 37.50199505),pedestrian_11641428793,localroad_4139968090
citybusstop_8763,구반포역,POINT (126.989912 37.501995),pedestrian_11428490511,localroad_4139968090
citybusstop_8764,구반포역,POINT (126.988039 37.501662),pedestrian_12147442533,localroad_12147442533
citybusstop_8765,동작대교전망카페,POINT (126.98095192 37.50612235),pedestrian_11229661058,localroad_11229661058
citybusstop_8766,구반포역,POINT (126.989974 37.504506),pedestrian_8486767875,localroad_798554455
citybusstop_8767,반포자이아파트,POINT (127.0101482 37.5056333),pedestrian_4899542156,localroad_4899542156
citybusstop_8768,사평역,POINT (127.0140741 37.5047994),pedestrian_2032663459,localroad_4899542143
citybusstop_8769,반포역,POINT (127.012378 37.508257),pedestrian_8489060247,localroad_5424010729
citybusstop_8770,반포역,POINT (127.0110398 37.507904),pedestrian_6225367836,localroad_11641428822
citybusstop_8771,반포역(중),POINT (127.01103875 37.50795331),pedestrian_11738027496,localroad_11641428851
citybusstop_8772,서원초등학교,POINT (127.017083 37.506281),pedestrian_3827671832,localroad_3827671832
citybusstop_8773,논현역,POINT (127.022802 37.50769),pedestrian_3827672469,localroad_3827672469
citybusstop_8774,논현역,POINT (127.0219091 37.5093193),pedestrian_3827672541,localroad_3827672541
citybusstop_8775,금강사옥,POINT (127.021067 37.505787),pedestrian_3827671803,localroad_3827671803
citybusstop_8776,논현역,POINT (127.0230319 37.5072264),pedestrian_4867334968,localroad_2477265761
citybusstop_8777,신논현역.구교보타워사거리,POINT (127.023023 37.504227),pedestrian_4182209839,localroad_4182209839
citybusstop_8778,교보사거리,POINT (127.0234455 37.5059783),pedestrian_4867334962,localroad_2477265747
citybusstop_8779,반포동,POINT (127.023498 37.505962),pedestrian_2477265747,localroad_2477265747
citybusstop_8780,논현역(중),POINT (127.02306654 37.50729383),pedestrian_4867334969,localroad_2477265761
citybusstop_8781,반포1동성당,POINT (127.0207027 37.5041168),pedestrian_2477340277,localroad_2477340277
citybusstop_8782,제일약품사옥,POINT (127.0203784 37.5034153),pedestrian_12061684199,localroad_414684605
citybusstop_8783,논현사거리.논현역4번출구,POINT (127.0196823 37.5104206),pedestrian_6225367830,localroad_2861309355
