uuid,node1_uuid,node2_uuid,distance,average_travel_time,geometry
pedestrian_102,pedestrian_436830486,pedestrian_11431861781,17.543,0.35086,"MultiLineString ((127.0128591 37.4806264, 127.0128029 37.4807272, 127.012811 37.4807743))"
pedestrian_103,pedestrian_436830490,pedestrian_11431861776,25.042,0.50084,"MultiLineString ((127.0069913 37.4776296, 127.0072327 37.477748))"
pedestrian_104,pedestrian_436830490,pedestrian_3462555597,18.65,0.373,"MultiLineString ((127.0069913 37.4776296, 127.0068091 37.4775446))"
pedestrian_105,pedestrian_436830490,pedestrian_5406500166,11.943,0.23886,"MultiLineString ((127.0069913 37.4776296, 127.007041 37.4775297))"
pedestrian_106,pedestrian_436830490,pedestrian_11431861660,19.99,0.3998,"MultiLineString ((127.0069913 37.4776296, 127.0069419 37.477737, 127.0069117 37.4777979))"
pedestrian_107,pedestrian_436832382,pedestrian_1694783330,56.984,1.13968,"MultiLineString ((127.0421 37.48374, 127.0414879 37.4835766))"
pedestrian_108,pedestrian_436832382,pedestrian_1694783131,69.68,1.3936,"MultiLineString ((127.0421 37.48374, 127.042372 37.4831517))"
pedestrian_109,pedestrian_436832382,pedestrian_1694783992,79.975,1.5995,"MultiLineString ((127.0421 37.48374, 127.0417968 37.4844178))"
pedestrian_110,pedestrian_436837053,pedestrian_2623345913,70.321,1.40642,"MultiLineString ((126.9967186 37.494211, 126.9971974 37.4937054))"
pedestrian_111,pedestrian_436837053,pedestrian_2385936362,41.63,0.8326,"MultiLineString ((126.9967186 37.494211, 126.9962656 37.4941062))"
pedestrian_112,pedestrian_436837053,pedestrian_2932857697,56.746,1.13492,"MultiLineString ((126.9967186 37.494211, 126.9971048 37.4946191))"
pedestrian_113,pedestrian_436837056,pedestrian_436842105,70.498,1.40996,"MultiLineString ((126.9979682 37.4949993, 126.9987657 37.4949594))"
pedestrian_114,pedestrian_436837056,pedestrian_436853883,125.653,2.51306,"MultiLineString ((126.9979682 37.4949993, 126.9979831 37.4951315, 126.9981788 37.496042, 126.9981951 37.4961145))"
pedestrian_115,pedestrian_436837056,pedestrian_2385935469,56.941,1.13882,"MultiLineString ((126.9979682 37.4949993, 126.9977751 37.4949909, 126.997597 37.4949566, 126.9974482 37.4948992, 126.9973641 37.4948516))"
pedestrian_116,pedestrian_436837533,pedestrian_3572149895,49.23,0.9846,"MultiLineString ((127.0414121 37.4696368, 127.0417909 37.4693118))"
pedestrian_117,pedestrian_436837533,pedestrian_1925498351,112.905,2.2581,"MultiLineString ((127.0414121 37.4696368, 127.0423886 37.4702928))"
pedestrian_118,pedestrian_436837533,pedestrian_1925498333,63.28,1.2656,"MultiLineString ((127.0414121 37.4696368, 127.0408539 37.4692796))"
pedestrian_119,pedestrian_436837539,pedestrian_927740192,49.57,0.9914,"MultiLineString ((127.0466911 37.47238, 127.0470859 37.4720629))"
pedestrian_120,pedestrian_436837539,pedestrian_4631776180,14.931,0.29862,"MultiLineString ((127.0466911 37.47238, 127.0468244 37.4724627))"
pedestrian_121,pedestrian_436837539,pedestrian_2863416048,60.73,1.2146,"MultiLineString ((127.0466911 37.47238, 127.0462034 37.4721046, 127.0461206 37.4720774))"
pedestrian_122,pedestrian_436838027,pedestrian_7621561341,6.596,0.13192,"MultiLineString ((126.9880878 37.4627402, 126.98816 37.4627249))"
pedestrian_123,pedestrian_436838027,pedestrian_11449537920,147.47,2.9494,"MultiLineString ((126.9880878 37.4627402, 126.9882127 37.4633426, 126.9883465 37.4640504))"
pedestrian_124,pedestrian_436838053,pedestrian_1685716301,35.546,0.71092,"MultiLineString ((126.9821298 37.4839603, 126.9825309 37.4839305))"
pedestrian_125,pedestrian_436838053,pedestrian_4185991244,56.843,1.13686,"MultiLineString ((126.9821298 37.4839603, 126.98217 37.4844705))"
pedestrian_126,pedestrian_436838053,pedestrian_1887910798,134.72,2.6944,"MultiLineString ((126.9821298 37.4839603, 126.9820446 37.483153, 126.9820373 37.4827516))"
pedestrian_127,pedestrian_436838063,pedestrian_2624211577,50.105,1.0021,"MultiLineString ((126.9827592 37.4909123, 126.983327 37.4909038))"
pedestrian_128,pedestrian_436838063,pedestrian_2533109193,83.636,1.67272,"MultiLineString ((126.9827592 37.4909123, 126.9827787 37.4916643))"
pedestrian_129,pedestrian_436838063,pedestrian_4984575366,188.061,3.76122,"MultiLineString ((126.9827592 37.4909123, 126.9826419 37.4906568, 126.9826297 37.4896309, 126.9826306 37.4892375))"
pedestrian_130,pedestrian_436838063,pedestrian_3804191223,152.086,3.04172,"MultiLineString ((126.9827592 37.4909123, 126.9827533 37.4901811, 126.9827478 37.4899469, 126.9827142 37.4895455))"
pedestrian_131,pedestrian_436839449,pedestrian_1925498798,181.972,3.63944,"MultiLineString ((127.04025 37.47406, 127.0414176 37.4754089))"
pedestrian_132,pedestrian_436839449,pedestrian_1925498589,92.277,1.84554,"MultiLineString ((127.04025 37.47406, 127.04008 37.47391, 127.03997 37.47386, 127.03975 37.47378, 127.039645 37.4737603, 127.03959 37.47375, 127.0393318 37.4737445))"
pedestrian_133,pedestrian_436839449,pedestrian_1925498596,51.055,1.0211,"MultiLineString ((127.04025 37.47406, 127.0406665 37.473832, 127.0407265 37.4737996))"
pedestrian_134,pedestrian_436840831,pedestrian_9691296212,100.071,2.00142,"MultiLineString ((127.0362774 37.4624902, 127.0370355 37.461821))"
pedestrian_135,pedestrian_436840832,pedestrian_9691296165,12.973,0.25946,"MultiLineString ((127.0354615 37.4632272, 127.0355716 37.4633045))"
pedestrian_136,pedestrian_436840836,pedestrian_9691296147,9.472,0.18944,"MultiLineString ((127.03423 37.46455, 127.0343373 37.4645484))"
pedestrian_137,pedestrian_436841230,pedestrian_11225358143,5.923,0.11846,"MultiLineString ((127.0137152 37.5151987, 127.013735 37.5152496))"
pedestrian_138,pedestrian_436841230,pedestrian_11225358142,5.051,0.10102,"MultiLineString ((127.0137152 37.5151987, 127.0136686 37.5152251))"
pedestrian_139,pedestrian_436841230,pedestrian_11225358139,5.346,0.10692,"MultiLineString ((127.0137152 37.5151987, 127.0137737 37.5151861))"
pedestrian_140,pedestrian_436841230,pedestrian_11225358150,9.173,0.18346,"MultiLineString ((127.0137152 37.5151987, 127.0137049 37.5151592, 127.0136942 37.5151179))"
pedestrian_141,pedestrian_436841231,pedestrian_8489298912,235.476,4.70952,"MultiLineString ((127.01494 37.51841, 127.0156624 37.5204487))"
pedestrian_142,pedestrian_436841231,pedestrian_5825516617,13.268,0.26536,"MultiLineString ((127.01494 37.51841, 127.0148968 37.5182957))"
pedestrian_143,pedestrian_436841231,pedestrian_8488873811,62.021,1.24042,"MultiLineString ((127.01494 37.51841, 127.0142674 37.5185728))"
pedestrian_144,pedestrian_436842082,pedestrian_3038282514,17.161,0.34322,"MultiLineString ((127.0043705 37.4908085, 127.0043012 37.4909527))"
pedestrian_145,pedestrian_436842082,pedestrian_5799969253,117.604,2.35208,"MultiLineString ((127.0043705 37.4908085, 127.005616 37.4911853))"
pedestrian_146,pedestrian_436842082,pedestrian_9621002510,24.991,0.49982,"MultiLineString ((127.0043705 37.4908085, 127.0044185 37.490587))"
