area_use,area_supply,space,rooms,restrooms,entrance,management_fee_year,management_fee_summer,management_fee_winter,floor_plan_url,households,area_supply_pyeong,uuid,apartment_uuid
161.43,195.04,195A㎡,4,2,계단식,421838.0,450394.0,437077.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=7,2,59,apartmenttype_92,apartment_1165010120
161.59,195.23,195B㎡,4,2,계단식,422256.0,450840.0,437510.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=8,2,59,apartmenttype_93,apartment_1165010120
168.81,203.96,203A㎡,4,2,계단식,441123.0,470984.0,457058.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=9,49,61,apartmenttype_94,apartment_1165010120
169.08,204.28,204B㎡,4,2,계단식,441829.0,471737.0,457790.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=10,49,61,apartmenttype_95,apartment_1165010120
174.89,211.3,211㎡,4,2,계단식,457011.0,487947.0,473520.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=25726&ptpId=11,56,64,apartmenttype_96,apartment_1165010120
129.76,153.9,153㎡,5,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=948&ptpId=1,96,46,apartmenttype_97,apartment_1165010121
181.6,196.29,196㎡,5,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=948&ptpId=3,88,59,apartmenttype_98,apartment_1165010121
183.16,197.85,197㎡,5,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=948&ptpId=5,8,59,apartmenttype_99,apartment_1165010121
257.12,289.36,289㎡,6,3,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=948&ptpId=4,24,87,apartmenttype_100,apartment_1165010121
127.94,137.63,137A㎡,4,1,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=468&ptpId=3,66,41,apartmenttype_101,apartment_1165010122
128.5,137.64,137B㎡,4,1,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=468&ptpId=4,6,41,apartmenttype_102,apartment_1165010122
131.41,141.54,141A㎡,4,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=468&ptpId=1,132,42,apartmenttype_103,apartment_1165010122
132.39,141.55,141B㎡,4,1,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=468&ptpId=5,12,42,apartmenttype_104,apartment_1165010122
