uuid,uuid_specialpurposearea,uuid_districtboundarydong
"248",specialpurposearea_248,districtboundarydong_11650107
"249",specialpurposearea_249,districtboundarydong_11650107
"250",specialpurposearea_250,districtboundarydong_11650107
"251",specialpurposearea_251,districtboundarydong_11650107
"252",specialpurposearea_252,districtboundarydong_11650107
"253",specialpurposearea_253,districtboundarydong_11650107
"254",specialpurposearea_254,districtboundarydong_11650107
"255",specialpurposearea_255,districtboundarydong_11650107
"256",specialpurposearea_256,districtboundarydong_11650107
"257",specialpurposearea_257,districtboundarydong_11650107
"258",specialpurposearea_258,districtboundarydong_11650107
"259",specialpurposearea_259,districtboundarydong_11650107
"260",specialpurposearea_260,districtboundarydong_11650107
"261",specialpurposearea_261,districtboundarydong_11650107
"262",specialpurposearea_262,districtboundarydong_11650107
"263",specialpurposearea_263,districtboundarydong_11650107
"264",specialpurposearea_264,districtboundarydong_11650107
"265",specialpurposearea_265,districtboundarydong_11650107
"266",specialpurposearea_266,districtboundarydong_11650107
"267",specialpurposearea_267,districtboundarydong_11650107
"268",specialpurposearea_268,districtboundarydong_11650107
"269",specialpurposearea_269,districtboundarydong_11650107
"270",specialpurposearea_270,districtboundarydong_11650107
"271",specialpurposearea_271,districtboundarydong_11650107
"272",specialpurposearea_272,districtboundarydong_11650107
"273",specialpurposearea_273,districtboundarydong_11650107
"274",specialpurposearea_274,districtboundarydong_11650107
"275",specialpurposearea_275,districtboundarydong_11650107
"276",specialpurposearea_276,districtboundarydong_11650107
"277",specialpurposearea_277,districtboundarydong_11650107
"278",specialpurposearea_278,districtboundarydong_11650107
"279",specialpurposearea_279,districtboundarydong_11650107
"280",specialpurposearea_280,districtboundarydong_11650107
"281",specialpurposearea_281,districtboundarydong_11650107
"282",specialpurposearea_282,districtboundarydong_11650107
"283",specialpurposearea_283,districtboundarydong_11650107
"284",specialpurposearea_284,districtboundarydong_11650107
"285",specialpurposearea_285,districtboundarydong_11650107
"286",specialpurposearea_286,districtboundarydong_11650107
"287",specialpurposearea_287,districtboundarydong_11650107
"288",specialpurposearea_288,districtboundarydong_11650107
"289",specialpurposearea_289,districtboundarydong_11650107
"290",specialpurposearea_290,districtboundarydong_11650107
"291",specialpurposearea_291,districtboundarydong_11650107
"292",specialpurposearea_292,districtboundarydong_11650107
"293",specialpurposearea_293,districtboundarydong_11650107
"294",specialpurposearea_294,districtboundarydong_11650107
"295",specialpurposearea_295,districtboundarydong_11650107
"296",specialpurposearea_296,districtboundarydong_11650107
"297",specialpurposearea_297,districtboundarydong_11650107
"298",specialpurposearea_298,districtboundarydong_11650107
"299",specialpurposearea_299,districtboundarydong_11650107
"300",specialpurposearea_300,districtboundarydong_11650107
"301",specialpurposearea_301,districtboundarydong_11650107
"302",specialpurposearea_302,districtboundarydong_11650107
"303",specialpurposearea_303,districtboundarydong_11650107
"304",specialpurposearea_304,districtboundarydong_11650107
"305",specialpurposearea_305,districtboundarydong_11650107
"306",specialpurposearea_306,districtboundarydong_11650107
"307",specialpurposearea_307,districtboundarydong_11650107
"308",specialpurposearea_308,districtboundarydong_11650107
"309",specialpurposearea_309,districtboundarydong_11650107
"310",specialpurposearea_310,districtboundarydong_11650107
"311",specialpurposearea_311,districtboundarydong_11650107
"312",specialpurposearea_312,districtboundarydong_11650107
"313",specialpurposearea_313,districtboundarydong_11650107
"314",specialpurposearea_314,districtboundarydong_11650107
"315",specialpurposearea_315,districtboundarydong_11650107
"316",specialpurposearea_316,districtboundarydong_11650107
"317",specialpurposearea_317,districtboundarydong_11650107
"318",specialpurposearea_318,districtboundarydong_11650107
"319",specialpurposearea_319,districtboundarydong_11650107
"320",specialpurposearea_320,districtboundarydong_11650107
"321",specialpurposearea_321,districtboundarydong_11650107
